Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
194,FabriStickdog,,0,114,114,0,114,114,1,1,1,0,3
195,DelaCruz_91,,1,27,28,1,27,28,1,1,1,938.314286,6
196,opticaadgracia,,2,67,69,2,67,69,1,1,1,7100.94329,0
197,CasaDelAljarife,,2,87,89,2,87,89,1,1,1,9652.262518,7
198,spaneasy,,1,124,125,1,124,125,18,0.094374,0.102856,83766.901757,1
199,ChinyangararaK,,1,32,33,1,32,33,3,0.456522,0.55291,2829.12031,2
200,esn_gcu,,4,19,23,4,19,23,1,1,1,2711.428788,2
201,DiegoRuiz75,,0,96,96,0,96,96,1,1,1,0,5
202,ESN_Trieste,,7,8,15,7,8,15,14,0.146103,0.159498,58449.46875,1
203,deturismoytradu,,3,1127,1130,3,1127,1130,20,0.081593,0.113984,262946.332264,0
204,HebePremios,,1,68,69,1,68,69,2,0.598266,0.664251,3337.922403,6
205,granadaproducto,,1,80,81,1,80,81,1,1,1,7631.191847,0
206,unerasmus,,3,29,32,3,29,32,4,0.369887,0.420005,38518.023941,6
207,PubLatinoGR,,2,102,104,2,102,104,3,0.528274,0.613615,26743.517671,6
208,ciudadl,,2,178,180,2,178,180,1,1,1,17053.469207,4
209,marco_capriotti,,3,105,108,3,105,108,2,0.689531,0.774869,7732.955588,3
210,GRANerasmus,,2,1,3,2,1,3,1,1,1,0,6
211,GranadaInsider,,3,153,156,3,153,156,3,0.490427,0.646647,24915.520912,0
212,cesar12081208,,0,5,5,0,5,5,2,0.508306,0.51634,0,7
213,EsnYeditepe,,4,3,7,4,3,7,1,1,1,203.188095,1
214,alexey_gandia,,4,51,55,4,51,55,1,1,1,5221.514132,4
215,ESNCartagena,,4,16,20,4,16,20,1,1,1,1949.458331,4
216,EuropeanYouthEU,,12,356,368,12,356,368,15,0.121892,0.140401,186357.404928,1
217,8deMayoGojar,,2,19,21,2,19,21,1,1,1,3045.774387,0
218,UGRinclusiva,,5,9,14,5,9,14,1,1,1,818.841522,5
219,ENILYouth,,4,366,370,4,366,370,1,1,1,40279.329329,1
220,BFadile,,2,49,51,2,49,51,2,0.692913,0.778409,4222.240332,8
221,Rociorir,,1,19,20,1,19,20,1,1,1,1718.761555,6
222,LAGUIAGOGRANADA,,4,607,611,4,607,611,10,0.187239,0.217641,517640.037264,0
223,josipafriscic,,3,98,101,3,98,101,3,0.54023,0.698582,11892.96062,2
224,esn_uofg,,7,17,24,7,17,24,1,1,1,2385.711111,1
225,tpvimpresoras,,0,683,683,0,683,683,1,1,1,0,0
226,carlosber101,,0,1,1,0,1,1,1,1,1,0,1
227,marck_vee,,2,5,7,2,5,7,1,1,1,377.716667,3
228,yva_mitchell,,0,60,60,0,60,60,1,1,1,0,2
229,janecunnison,,2,40,42,2,40,42,1,1,1,4147.837981,0
230,EllaFrt,,2,1,3,2,1,3,1,1,1,0,1
231,ESNOviedo,,9,5,14,9,5,14,2,0.54386,0.580645,1385.386905,1
232,noseracierto,,0,25,25,0,25,25,1,1,1,0,2
233,ElTanqueBatti4,,0,5,5,0,5,5,1,1,1,0,3
234,EspeAlcain,,2,1,3,2,1,3,1,1,1,0,1
235,AndaluciaStore,,1,126,127,1,126,127,1,1,1,13027.160173,0
236,MyCityGranada,,3,41,44,3,41,44,1,1,1,4398.496825,0
237,parquekinepolis,,3,115,118,3,115,118,4,0.438272,0.666275,9680.542951,0
238,Srta_Exposito,,1,1,2,1,1,2,1,1,1,0,1
239,travelnewers1,,3,523,526,3,523,526,1,1,1,60009.767544,7
240,ASE_ESN_Verona,,6,11,17,6,11,17,2,0.789474,0.866667,1475.330952,3
